mode,model,exact,CER,WAR,contain,exact_gangnam,exact_brooklyn,exact_suwon,CER_gangnam,CER_brooklyn,CER_suwon
deploy OCR (run24),-,69.93,0.1632,0.6480,75.17,73.11,76.88,58.56,0.1898,0.1095,0.2547
fixtext,gemma4_31b,72.47,0.1588,0.6911,77.87,73.11,81.41,61.88,0.1998,0.0977,0.2476
fix,gemma4_31b,79.90,0.1303,0.7503,86.82,81.13,88.94,68.51,0.1587,0.0781,0.2158
fixcand,gemma4_31b,79.90,0.1266,0.7589,86.15,80.66,88.94,69.06,0.1612,0.0756,0.2005
fixcand5,gemma4_31b,80.91,0.1222,0.7664,86.82,82.55,88.94,70.17,0.1469,0.0727,0.2064
fixtext,qwen3vl32b,71.28,0.1598,0.6771,76.52,72.64,81.41,58.56,0.1973,0.0997,0.2512
fix,qwen3vl32b,79.73,0.1266,0.7427,87.16,79.25,88.44,70.72,0.1637,0.0742,0.2005
fixcand,qwen3vl32b,78.89,0.1374,0.7406,86.49,80.19,88.44,66.85,0.1788,0.0747,0.2300
fixcand5,qwen3vl32b,79.73,0.1301,0.7470,86.99,80.66,88.44,69.06,0.1721,0.0722,0.2099
